Nama file,Ukuran (bytes),Ukuran (KB),Lokasi,Digunakan dimana,Status
wikaru-icons.css,9573,9.3,assets/css/wikaru-icons.css,sw.js; sw-v35.js; index.html; qa/test-http.mjs; qa/test-homepage-static.mjs; qa/measure.mjs; qa/validate.mjs; qa/test-wikaru-icons.mjs,USED_RUNTIME_OR_BUILD
seal-cursor-click-master.png,1169640,1142.2,assets/cursor/master-v38/seal-cursor-click-master.png,High-resolution source/master retained for future asset edits; not production runtime,MASTER_RETAINED
seal-cursor-happy-master.png,1379131,1346.8,assets/cursor/master-v38/seal-cursor-happy-master.png,High-resolution source/master retained for future asset edits; not production runtime,MASTER_RETAINED
seal-cursor-hover-master.png,1005338,981.8,assets/cursor/master-v38/seal-cursor-hover-master.png,High-resolution source/master retained for future asset edits; not production runtime,MASTER_RETAINED
seal-cursor-loading-master.png,1036918,1012.6,assets/cursor/master-v38/seal-cursor-loading-master.png,High-resolution source/master retained for future asset edits; not production runtime,MASTER_RETAINED
seal-cursor-normal-master.png,1640910,1602.5,assets/cursor/master-v38/seal-cursor-normal-master.png,High-resolution source/master retained for future asset edits; not production runtime,MASTER_RETAINED
seal-cursor-sleep-master.png,1288274,1258.1,assets/cursor/master-v38/seal-cursor-sleep-master.png,High-resolution source/master retained for future asset edits; not production runtime,MASTER_RETAINED
seal-cursor-success-master.png,1443586,1409.8,assets/cursor/master-v38/seal-cursor-success-master.png,High-resolution source/master retained for future asset edits; not production runtime,MASTER_RETAINED
seal-cursor-typing-master.png,1238777,1209.7,assets/cursor/master-v38/seal-cursor-typing-master.png,High-resolution source/master retained for future asset edits; not production runtime,MASTER_RETAINED
seal-cursor-click-v38.png,4514,4.4,assets/cursor/seal-cursor-click-v38.png,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
seal-cursor-happy-v38.png,4807,4.7,assets/cursor/seal-cursor-happy-v38.png,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
seal-cursor-hover-v38.png,3873,3.8,assets/cursor/seal-cursor-hover-v38.png,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
seal-cursor-loading-v38.png,3889,3.8,assets/cursor/seal-cursor-loading-v38.png,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
seal-cursor-normal-v38.png,5409,5.3,assets/cursor/seal-cursor-normal-v38.png,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
seal-cursor-sleep-v38.png,4780,4.7,assets/cursor/seal-cursor-sleep-v38.png,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
seal-cursor-success-v38.png,5283,5.2,assets/cursor/seal-cursor-success-v38.png,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
seal-cursor-typing-v38.png,4456,4.4,assets/cursor/seal-cursor-typing-v38.png,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
seal-guide-clean-v39u1.png,298249,291.3,assets/generated/seal-guide-clean-v39u1.png,quiz-guide.js; question-page-final.js; deploy-v35.js; mascot.js; CSS; service worker,RUNTIME_CURRENT
chapter.png,60705,59.3,assets/icons/kotoba-v39/chapter.png,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
chapter.svg,81127,79.2,assets/icons/kotoba-v39/chapter.svg,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
direction.png,121992,119.1,assets/icons/kotoba-v39/direction.png,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
direction.svg,162843,159.0,assets/icons/kotoba-v39/direction.svg,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
guide.png,136969,133.8,assets/icons/kotoba-v39/guide.png,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
guide.svg,182815,178.5,assets/icons/kotoba-v39/guide.svg,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
hana.png,129231,126.2,assets/icons/kotoba-v39/hana.png,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
hana.svg,172495,168.5,assets/icons/kotoba-v39/hana.svg,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
identity.png,124466,121.5,assets/icons/kotoba-v39/identity.png,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
identity.svg,166143,162.2,assets/icons/kotoba-v39/identity.svg,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
kaito.png,98489,96.2,assets/icons/kotoba-v39/kaito.png,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
kaito.svg,131507,128.4,assets/icons/kotoba-v39/kaito.svg,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
manifest.json,446,0.4,assets/icons/kotoba-v39/manifest.json,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
momo.png,113324,110.7,assets/icons/kotoba-v39/momo.png,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
momo.svg,151287,147.7,assets/icons/kotoba-v39/momo.svg,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
notes.png,113462,110.8,assets/icons/kotoba-v39/notes.png,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
notes.svg,151471,147.9,assets/icons/kotoba-v39/notes.svg,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
ren.png,98845,96.5,assets/icons/kotoba-v39/ren.png,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
ren.svg,131983,128.9,assets/icons/kotoba-v39/ren.svg,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
section.png,84114,82.1,assets/icons/kotoba-v39/section.png,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
section.svg,112339,109.7,assets/icons/kotoba-v39/section.svg,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
shuffle.png,118464,115.7,assets/icons/kotoba-v39/shuffle.png,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
shuffle.svg,158139,154.4,assets/icons/kotoba-v39/shuffle.svg,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
speech.png,102549,100.1,assets/icons/kotoba-v39/speech.png,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
speech.svg,136919,133.7,assets/icons/kotoba-v39/speech.svg,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
statistics.png,80193,78.3,assets/icons/kotoba-v39/statistics.png,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
statistics.svg,107111,104.6,assets/icons/kotoba-v39/statistics.svg,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
timer.png,113124,110.5,assets/icons/kotoba-v39/timer.png,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
timer.svg,151019,147.5,assets/icons/kotoba-v39/timer.svg,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
understand.png,105056,102.6,assets/icons/kotoba-v39/understand.png,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
understand.svg,140263,137.0,assets/icons/kotoba-v39/understand.svg,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
word-type.png,55983,54.7,assets/icons/kotoba-v39/word-type.png,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
word-type.svg,74831,73.1,assets/icons/kotoba-v39/word-type.svg,Original extracted v39 source set retained for regeneration / rollback; not production runtime,SOURCE_RETAINED
chapter-32.png,1753,1.7,assets/icons/wikaru/chapter-32.png,32px/SVG deliverable; QA validation,EXPORT_VARIANT
chapter-64.png,4642,4.5,assets/icons/wikaru/chapter-64.png,wikaru-icons.js/deploy-v35.js semantic icon runtime; service worker,RUNTIME_CURRENT
chapter.svg,81127,79.2,assets/icons/wikaru/chapter.svg,32px/SVG deliverable; QA validation,EXPORT_VARIANT
direction-32.png,2386,2.3,assets/icons/wikaru/direction-32.png,32px/SVG deliverable; QA validation,EXPORT_VARIANT
direction-64.png,6657,6.5,assets/icons/wikaru/direction-64.png,wikaru-icons.js/deploy-v35.js semantic icon runtime; service worker,RUNTIME_CURRENT
direction.svg,162843,159.0,assets/icons/wikaru/direction.svg,32px/SVG deliverable; QA validation,EXPORT_VARIANT
guide-32.png,2173,2.1,assets/icons/wikaru/guide-32.png,32px/SVG deliverable; QA validation,EXPORT_VARIANT
guide-64.png,6328,6.2,assets/icons/wikaru/guide-64.png,wikaru-icons.js/deploy-v35.js semantic icon runtime; service worker,RUNTIME_CURRENT
guide.svg,182815,178.5,assets/icons/wikaru/guide.svg,32px/SVG deliverable; QA validation,EXPORT_VARIANT
hana-32.png,2451,2.4,assets/icons/wikaru/hana-32.png,32px/SVG deliverable; QA validation,EXPORT_VARIANT
hana-64.png,6799,6.6,assets/icons/wikaru/hana-64.png,wikaru-icons.js/deploy-v35.js semantic icon runtime; service worker,RUNTIME_CURRENT
hana.svg,172495,168.5,assets/icons/wikaru/hana.svg,32px/SVG deliverable; QA validation,EXPORT_VARIANT
identity-32.png,2437,2.4,assets/icons/wikaru/identity-32.png,32px/SVG deliverable; QA validation,EXPORT_VARIANT
identity-64.png,6845,6.7,assets/icons/wikaru/identity-64.png,wikaru-icons.js/deploy-v35.js semantic icon runtime; service worker,RUNTIME_CURRENT
identity.svg,166143,162.2,assets/icons/wikaru/identity.svg,32px/SVG deliverable; QA validation,EXPORT_VARIANT
kaito-32.png,2120,2.1,assets/icons/wikaru/kaito-32.png,32px/SVG deliverable; QA validation,EXPORT_VARIANT
kaito-64.png,5930,5.8,assets/icons/wikaru/kaito-64.png,wikaru-icons.js/deploy-v35.js semantic icon runtime; service worker,RUNTIME_CURRENT
kaito.svg,131507,128.4,assets/icons/wikaru/kaito.svg,32px/SVG deliverable; QA validation,EXPORT_VARIANT
manifest.json,488,0.5,assets/icons/wikaru/manifest.json,Icon asset manifest; service worker; QA,RUNTIME_METADATA
momo-32.png,2245,2.2,assets/icons/wikaru/momo-32.png,32px/SVG deliverable; QA validation,EXPORT_VARIANT
momo-64.png,6128,6.0,assets/icons/wikaru/momo-64.png,wikaru-icons.js/deploy-v35.js semantic icon runtime; service worker,RUNTIME_CURRENT
momo.svg,151287,147.7,assets/icons/wikaru/momo.svg,32px/SVG deliverable; QA validation,EXPORT_VARIANT
notes-32.png,2238,2.2,assets/icons/wikaru/notes-32.png,32px/SVG deliverable; QA validation,EXPORT_VARIANT
notes-64.png,6102,6.0,assets/icons/wikaru/notes-64.png,wikaru-icons.js/deploy-v35.js semantic icon runtime; service worker,RUNTIME_CURRENT
notes.svg,151471,147.9,assets/icons/wikaru/notes.svg,32px/SVG deliverable; QA validation,EXPORT_VARIANT
ren-32.png,2027,2.0,assets/icons/wikaru/ren-32.png,32px/SVG deliverable; QA validation,EXPORT_VARIANT
ren-64.png,5356,5.2,assets/icons/wikaru/ren-64.png,wikaru-icons.js/deploy-v35.js semantic icon runtime; service worker,RUNTIME_CURRENT
ren.svg,131983,128.9,assets/icons/wikaru/ren.svg,32px/SVG deliverable; QA validation,EXPORT_VARIANT
section-32.png,2087,2.0,assets/icons/wikaru/section-32.png,32px/SVG deliverable; QA validation,EXPORT_VARIANT
section-64.png,5404,5.3,assets/icons/wikaru/section-64.png,wikaru-icons.js/deploy-v35.js semantic icon runtime; service worker,RUNTIME_CURRENT
section.svg,112339,109.7,assets/icons/wikaru/section.svg,32px/SVG deliverable; QA validation,EXPORT_VARIANT
shuffle-32.png,1990,1.9,assets/icons/wikaru/shuffle-32.png,32px/SVG deliverable; QA validation,EXPORT_VARIANT
shuffle-64.png,5412,5.3,assets/icons/wikaru/shuffle-64.png,wikaru-icons.js/deploy-v35.js semantic icon runtime; service worker,RUNTIME_CURRENT
shuffle.svg,158139,154.4,assets/icons/wikaru/shuffle.svg,32px/SVG deliverable; QA validation,EXPORT_VARIANT
speech-32.png,2049,2.0,assets/icons/wikaru/speech-32.png,32px/SVG deliverable; QA validation,EXPORT_VARIANT
speech-64.png,5660,5.5,assets/icons/wikaru/speech-64.png,wikaru-icons.js/deploy-v35.js semantic icon runtime; service worker,RUNTIME_CURRENT
speech.svg,136919,133.7,assets/icons/wikaru/speech.svg,32px/SVG deliverable; QA validation,EXPORT_VARIANT
statistics-32.png,1694,1.7,assets/icons/wikaru/statistics-32.png,32px/SVG deliverable; QA validation,EXPORT_VARIANT
statistics-64.png,4293,4.2,assets/icons/wikaru/statistics-64.png,wikaru-icons.js/deploy-v35.js semantic icon runtime; service worker,RUNTIME_CURRENT
statistics.svg,107111,104.6,assets/icons/wikaru/statistics.svg,32px/SVG deliverable; QA validation,EXPORT_VARIANT
timer-32.png,2418,2.4,assets/icons/wikaru/timer-32.png,32px/SVG deliverable; QA validation,EXPORT_VARIANT
timer-64.png,6514,6.4,assets/icons/wikaru/timer-64.png,wikaru-icons.js/deploy-v35.js semantic icon runtime; service worker,RUNTIME_CURRENT
timer.svg,151019,147.5,assets/icons/wikaru/timer.svg,32px/SVG deliverable; QA validation,EXPORT_VARIANT
understand-32.png,1836,1.8,assets/icons/wikaru/understand-32.png,32px/SVG deliverable; QA validation,EXPORT_VARIANT
understand-64.png,5179,5.1,assets/icons/wikaru/understand-64.png,wikaru-icons.js/deploy-v35.js semantic icon runtime; service worker,RUNTIME_CURRENT
understand.svg,140263,137.0,assets/icons/wikaru/understand.svg,32px/SVG deliverable; QA validation,EXPORT_VARIANT
word-type-32.png,1486,1.5,assets/icons/wikaru/word-type-32.png,32px/SVG deliverable; QA validation,EXPORT_VARIANT
word-type-64.png,3791,3.7,assets/icons/wikaru/word-type-64.png,wikaru-icons.js/deploy-v35.js semantic icon runtime; service worker,RUNTIME_CURRENT
word-type.svg,74831,73.1,assets/icons/wikaru/word-type.svg,32px/SVG deliverable; QA validation,EXPORT_VARIANT
account-offline.js,19892,19.4,assets/js/account-offline.js,sw.js; sw-v35.js; index.html; qa/test-continuity-timer.mjs; qa/measure.mjs; qa/validate.mjs,USED_RUNTIME_OR_BUILD
app-management.js,19170,18.7,assets/js/app-management.js,sw.js; sw-v35.js; index.html; qa/test-http.mjs; qa/measure.mjs; qa/validate.mjs; qa/test-app-management.mjs,USED_RUNTIME_OR_BUILD
app.js,2108013,2058.6,assets/js/app.js,sw.js; sw-v35.js; index.html; qa/test-http.mjs; qa/test-mascot-system.mjs; qa/test-visible-assets-v27.mjs; qa/test-cursor-quiz-guide.mjs; qa/test-region-assets.mjs,USED_RUNTIME_OR_BUILD
cache-reset-v35.js,1315,1.3,assets/js/cache-reset-v35.js,sw.js; sw-v35.js; index.html; qa/test-http.mjs; qa/test-v39-icon-rollout.mjs; qa/validate.mjs; qa/test-github-deploy-v35.mjs,USED_RUNTIME_OR_BUILD
critical.js,3824,3.7,assets/js/critical.js,sw.js; sw-v35.js; index.html; qa/test-http.mjs; qa/measure.mjs; qa/validate.mjs,USED_RUNTIME_OR_BUILD
cursor-v35.js,4975,4.9,assets/js/cursor-v35.js,sw.js; sw-v35.js; index.html; qa/test-http.mjs; qa/test-approved-question-page.mjs; qa/test-visible-assets-v27.mjs; qa/test-cursor-quiz-guide.mjs; qa/test-cursor-runtime.mjs,USED_RUNTIME_OR_BUILD
data-loader.js,5994,5.9,assets/js/data-loader.js,sw.js; sw-v35.js; qa/test-http.mjs; qa/measure.mjs; qa/test-data-loader.mjs; qa/validate.mjs,USED_RUNTIME_OR_BUILD
deploy-v35.js,18853,18.4,assets/js/deploy-v35.js,sw.js; sw-v35.js; index.html; qa/test-http.mjs; qa/test-visible-assets-v27.mjs; qa/measure.mjs; qa/test-v39-icon-rollout.mjs; qa/validate.mjs,USED_RUNTIME_OR_BUILD
enhancements.js,354669,346.4,assets/js/enhancements.js,sw.js; sw-v35.js; index.html; qa/test-http.mjs; qa/test-approved-question-page.mjs; qa/test-copywriting-ui.mjs; qa/test-continuity-timer.mjs; qa/test-motion-safety.mjs,USED_RUNTIME_OR_BUILD
experience-v33.js,23037,22.5,assets/js/experience-v33.js,sw.js; sw-v35.js; index.html; qa/test-professional-v33.mjs,USED_RUNTIME_OR_BUILD
learning-engine.js,1371,1.3,assets/js/learning-engine.js,sw.js; sw-v35.js; qa/test-http.mjs; qa/test-learning-hub.mjs; qa/measure.mjs; qa/validate.mjs,USED_RUNTIME_OR_BUILD
learning-hub.js,43443,42.4,assets/js/learning-hub.js,sw.js; sw-v35.js; index.html; qa/test-http.mjs; qa/test-learning-hub.mjs; qa/measure.mjs; qa/validate.mjs,USED_RUNTIME_OR_BUILD
mascot.js,32494,31.7,assets/js/mascot.js,sw.js; sw-v35.js; index.html; qa/test-mascot-system.mjs; qa/test-visible-assets-v27.mjs; qa/test-mascot-runtime.mjs; qa/measure.mjs; qa/validate.mjs,USED_RUNTIME_OR_BUILD
pdf-reports.js,25576,25.0,assets/js/pdf-reports.js,sw.js; sw-v35.js; qa/test-pdf-reports.mjs; qa/measure.mjs; qa/validate.mjs,USED_RUNTIME_OR_BUILD
profile-assets.js,9817,9.6,assets/js/profile-assets.js,sw.js; sw-v35.js; index.html; qa/test-http.mjs; qa/test-profile-assets.mjs; qa/test-motion-safety.mjs; qa/measure.mjs; qa/validate.mjs,USED_RUNTIME_OR_BUILD
question-page-final.js,5291,5.2,assets/js/question-page-final.js,sw.js; sw-v35.js; index.html; qa/test-http.mjs; qa/test-approved-question-page.mjs; qa/test-visible-assets-v27.mjs; qa/test-copywriting-ui.mjs; qa/measure.mjs,USED_RUNTIME_OR_BUILD
quiz-guide.js,21724,21.2,assets/js/quiz-guide.js,sw.js; sw-v35.js; index.html; qa/test-http.mjs; qa/test-approved-question-page.mjs; qa/test-visible-assets-v27.mjs; qa/test-cursor-quiz-guide.mjs; qa/test-copywriting-ui.mjs,USED_RUNTIME_OR_BUILD
runtime-config.js,393,0.4,assets/js/runtime-config.js,sw.js; sw-v35.js; index.html; docs/SUPABASE_SETUP.md; docs/PRODUCTION_CHECKLIST.md; qa/test-continuity-timer.mjs; qa/measure.mjs; qa/FINAL_TEST_REPORT.md,USED_RUNTIME_OR_BUILD
supabase-client.js,13479,13.2,assets/js/supabase-client.js,sw.js; sw-v35.js; docs/SUPABASE_SETUP.md; qa/test-http.mjs; qa/test-supabase-runtime.mjs; qa/test-continuity-timer.mjs; qa/measure.mjs; qa/test-supabase-integration.mjs,USED_RUNTIME_OR_BUILD
wikaru-icons.js,6903,6.7,assets/js/wikaru-icons.js,sw.js; sw-v35.js; index.html; qa/test-http.mjs; qa/test-visible-assets-v27.mjs; qa/test-homepage-static.mjs; qa/measure.mjs; qa/test-v39-icon-rollout.mjs,USED_RUNTIME_OR_BUILD
seal-rest-angry-master.png,1372076,1339.9,assets/mascot/master-v38/seal-rest-angry-master.png,High-resolution source/master retained for future asset edits; not production runtime,MASTER_RETAINED
seal-sad-deep-master.png,1316569,1285.7,assets/mascot/master-v38/seal-sad-deep-master.png,High-resolution source/master retained for future asset edits; not production runtime,MASTER_RETAINED
seal-sad-week-master.png,1196434,1168.4,assets/mascot/master-v38/seal-sad-week-master.png,High-resolution source/master retained for future asset edits; not production runtime,MASTER_RETAINED
manifest.json,251,0.2,assets/mascot/v38/manifest.json,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
seal-guide-v38.png,352589,344.3,assets/mascot/v38/seal-guide-v38.png,docs/QUESTION_PAGE_FINAL_PREVIEW.html; qa/render-v32-final-previews.mjs,QA_ONLY_OR_SOURCE
seal-pass-kkm-v38.png,299310,292.3,assets/mascot/v38/seal-pass-kkm-v38.png,assets/js/deploy-v35.js,USED_RUNTIME_OR_BUILD
seal-perfect-v38.png,299310,292.3,assets/mascot/v38/seal-perfect-v38.png,assets/js/deploy-v35.js,USED_RUNTIME_OR_BUILD
seal-rest-angry-v38.png,282321,275.7,assets/mascot/v38/seal-rest-angry-v38.png,assets/js/deploy-v35.js,USED_RUNTIME_OR_BUILD
seal-sad-month-v38.png,269504,263.2,assets/mascot/v38/seal-sad-month-v38.png,assets/js/deploy-v35.js,USED_RUNTIME_OR_BUILD
seal-sad-week-v38.png,248570,242.7,assets/mascot/v38/seal-sad-week-v38.png,assets/js/deploy-v35.js,USED_RUNTIME_OR_BUILD
seal-sad-year-v38.png,269504,263.2,assets/mascot/v38/seal-sad-year-v38.png,assets/js/deploy-v35.js,USED_RUNTIME_OR_BUILD
seal-streak-v38.png,289299,282.5,assets/mascot/v38/seal-streak-v38.png,assets/js/deploy-v35.js,USED_RUNTIME_OR_BUILD
seal-welcome-v38.png,289299,282.5,assets/mascot/v38/seal-welcome-v38.png,assets/js/deploy-v35.js,USED_RUNTIME_OR_BUILD
embedded-15fe218bc8791123.webp,7856,7.7,assets/media/embedded-15fe218bc8791123.webp,data/bab-26.json,USED_RUNTIME_OR_BUILD
embedded-2091c420071ea472.webp,10424,10.2,assets/media/embedded-2091c420071ea472.webp,data/bab-26.json,USED_RUNTIME_OR_BUILD
embedded-587fdd9738430eb9.webp,8824,8.6,assets/media/embedded-587fdd9738430eb9.webp,data/bab-26.json,USED_RUNTIME_OR_BUILD
embedded-8cf9ef8d72e3aab7.webp,21828,21.3,assets/media/embedded-8cf9ef8d72e3aab7.webp,data/bab-26.json,USED_RUNTIME_OR_BUILD
embedded-b1086a803d05c590.webp,18318,17.9,assets/media/embedded-b1086a803d05c590.webp,data/bab-26.json,USED_RUNTIME_OR_BUILD
embedded-c4ad64e2afb06b62.webp,18512,18.1,assets/media/embedded-c4ad64e2afb06b62.webp,data/bab-26.json,USED_RUNTIME_OR_BUILD
embedded-ccc7d4b81ed65300.webp,22034,21.5,assets/media/embedded-ccc7d4b81ed65300.webp,data/bab-26.json,USED_RUNTIME_OR_BUILD
embedded-ef347b16cb80cffd.webp,10310,10.1,assets/media/embedded-ef347b16cb80cffd.webp,data/bab-26.json,USED_RUNTIME_OR_BUILD
embedded-fcf560315d4c412e.svg,1314,1.3,assets/media/embedded-fcf560315d4c412e.svg,data/bab-44.json,USED_RUNTIME_OR_BUILD
wikaru-desktop.webp,29850,29.2,assets/onboarding/wikaru-desktop.webp,sw.js; sw-v35.js; qa/test-http.mjs; qa/measure.mjs; assets/js/mascot.js,USED_RUNTIME_OR_BUILD
wikaru-ipad.webp,13816,13.5,assets/onboarding/wikaru-ipad.webp,sw.js; sw-v35.js; qa/test-http.mjs; qa/measure.mjs; assets/js/mascot.js,USED_RUNTIME_OR_BUILD
wikaru-mobile.webp,16358,16.0,assets/onboarding/wikaru-mobile.webp,sw.js; sw-v35.js; qa/test-http.mjs; qa/measure.mjs; assets/js/mascot.js,USED_RUNTIME_OR_BUILD
ASSET_NOTES.md,1792,1.8,assets/profile/ASSET_NOTES.md,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
admin-guardian.webp,9374,9.2,assets/profile/admin-guardian.webp,No literal static reference found; retained because dynamic/data-driven use cannot be ruled out safely,RETAINED_UNRESOLVED
